movie_id,image_seq,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,gaze,blink,eye_offset,participant_id,elapsed_time,upload_time,distance
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,6,6.41279,0.000238746,4.53791,0.134349,3.56569,0.555717,84.7933,neutral,1,0,1.9027,e2aa9258-47a5-46ab-9c5c-283460f7a807,7.0,2023-09-17 07:58:15,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,7,29.8132,1.36594,31.5051,5.55513,11.357,2.18964,18.214,fear,0,0,40.3364,e2aa9258-47a5-46ab-9c5c-283460f7a807,8.0,2023-09-17 07:58:15,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,11,37.8121,0.00194457,2.65793,4.88018,5.27883,4.57332,44.7957,neutral,1,0,5.4381,e2aa9258-47a5-46ab-9c5c-283460f7a807,12.0,2023-09-17 07:58:15,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,13,1.89022,5.09271e-05,0.657695,0.0280769,10.7342,0.0184925,86.6713,neutral,0,0,28.1631,e2aa9258-47a5-46ab-9c5c-283460f7a807,14.0,2023-09-17 07:58:15,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,14,29.7403,0.00128793,1.82235,12.032,0.176336,50.7308,5.49689,surprise,0,0,26.6346,e2aa9258-47a5-46ab-9c5c-283460f7a807,15.0,2023-09-17 07:58:15,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,15,12.891,0.00911221,18.7378,44.4955,0.697675,20.4603,2.70864,happy,1,0,1.1557,e2aa9258-47a5-46ab-9c5c-283460f7a807,16.0,2023-09-17 07:58:15,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,16,6.74951,7.05203e-09,0.605867,0.20725,1.64998,10.7429,80.0445,neutral,0,0,33.9904,e2aa9258-47a5-46ab-9c5c-283460f7a807,17.0,2023-09-17 07:58:15,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,19,22.6007,0.0232085,29.007,4.91913,0.563153,40.0568,2.83002,surprise,1,0,4.2396,e2aa9258-47a5-46ab-9c5c-283460f7a807,19.0,2023-09-17 07:58:15,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,21,5.48561,0.0021643,5.35824,12.886,5.57801,0.965111,69.7249,neutral,1,0,-1.2918,e2aa9258-47a5-46ab-9c5c-283460f7a807,21.0,2023-09-17 07:58:15,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,22,0.577003,1.34761e-06,1.90354,0.017416,18.6789,0.00304767,78.8201,neutral,0,0,-33.4655,e2aa9258-47a5-46ab-9c5c-283460f7a807,22.0,2023-09-17 07:58:15,0.0
