movie_id,image_seq,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,gaze,blink,eye_offset,participant_id,elapsed_time,upload_time,distance
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,23,0.345538,1.00477e-05,2.49901,0.0668958,9.6103,0.158707,87.3195,neutral,0,0,27.9773,e2aa9258-47a5-46ab-9c5c-283460f7a807,23.0,2023-09-17 07:58:15,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,24,4.34449,0.0765402,4.49993,2.97926,10.2293,0.345107,77.5253,neutral,0,0,33.468,e2aa9258-47a5-46ab-9c5c-283460f7a807,25.0,2023-09-17 07:58:15,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,27,33.5487,0.293167,15.3897,2.56098,4.52076,8.23125,35.4554,neutral,1,0,0.6556,e2aa9258-47a5-46ab-9c5c-283460f7a807,28.0,2023-09-17 07:58:15,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,36,2.59239,0.00344359,71.0003,1.47633,16.124,0.997341,7.80624,fear,1,0,24.8701,9c30f055-f1ce-4cec-a633-7a8ee2173c88,37.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,39,4.99331,0.158397,64.3045,1.36268,4.1064,1.21001,23.8647,fear,0,0,35.7457,e2aa9258-47a5-46ab-9c5c-283460f7a807,40.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,40,0.171384,9.44226e-05,0.307663,0.542489,1.09426,0.0610762,97.823,neutral,1,0,1.5807,e2aa9258-47a5-46ab-9c5c-283460f7a807,41.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,46,0.164384,6.72149e-08,0.694917,0.00435339,2.41858,0.0481443,96.6696,neutral,0,0,29.0141,e2aa9258-47a5-46ab-9c5c-283460f7a807,47.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,49,0.347422,6.38971e-05,6.75774,0.082858,13.3189,0.0232918,79.4697,neutral,1,0,-3.0659,9c30f055-f1ce-4cec-a633-7a8ee2173c88,50.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,52,71.1725,8.51415e-05,5.75654,0.254491,5.11072,8.80042,8.9053,angry,1,0,0.3921,9c30f055-f1ce-4cec-a633-7a8ee2173c88,53.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,55,6.90915,0.00115252,38.985,19.8201,1.67128,20.3661,12.2472,fear,1,0,23.4943,9c30f055-f1ce-4cec-a633-7a8ee2173c88,56.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,59,13.5113,1.4539,28.364,5.67092,27.7544,1.0724,22.1731,fear,1,0,-2.0993,9c30f055-f1ce-4cec-a633-7a8ee2173c88,58.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,62,5.33016,0.138695,4.26616,66.2223,10.3176,1.54849,12.1766,happy,1,0,0.6282,9c30f055-f1ce-4cec-a633-7a8ee2173c88,61.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,63,3.00623,0.25645,71.4018,3.31896,17.9332,0.658682,3.42465,fear,1,0,-0.0041,9c30f055-f1ce-4cec-a633-7a8ee2173c88,62.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,67,57.2295,0.000669647,3.14597,3.59689,4.20499,0.21966,31.6023,angry,1,0,21.7889,e2aa9258-47a5-46ab-9c5c-283460f7a807,65.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,69,11.6053,0.174342,1.82199,7.44926,11.0737,1.6181,66.2573,neutral,1,0,-2.5824,e2aa9258-47a5-46ab-9c5c-283460f7a807,67.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,75,4.89265,0.000222468,0.276787,17.4222,2.22918,0.707575,74.4714,neutral,1,0,-0.7126,e2aa9258-47a5-46ab-9c5c-283460f7a807,72.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,76,8.42547,0.101945,1.39533,11.0875,5.09123,0.630006,73.2685,neutral,0,0,29.9251,e2aa9258-47a5-46ab-9c5c-283460f7a807,73.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,77,1.61874,0.013703,0.955855,7.83338,12.1273,0.0865547,77.3645,neutral,1,0,0.7693,9c30f055-f1ce-4cec-a633-7a8ee2173c88,74.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,89,4.93507,0.280023,57.3569,7.78013,5.05821,2.82773,21.762,fear,0,0,25.5737,9c30f055-f1ce-4cec-a633-7a8ee2173c88,84.0,2023-09-17 07:58:16,0.0
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,91,2.27476,0.0306318,14.9949,4.76802,8.16543,0.970922,68.7954,neutral,1,0,22.9742,9c30f055-f1ce-4cec-a633-7a8ee2173c88,86.0,2023-09-17 07:58:16,0.0
